observation_date,THREEFY1
2017-01-03,0.9024
2017-01-04,0.9075
2017-01-05,0.8793
2017-01-06,0.8970
2017-01-09,0.8841
2017-01-10,0.8828
2017-01-11,0.8847
2017-01-12,0.8785
2017-01-13,0.8953
2017-01-16,
2017-01-17,0.8780
2017-01-18,0.9085
2017-01-19,0.9200
2017-01-20,0.9059
2017-01-23,0.8668
2017-01-24,0.8868
2017-01-25,0.8959
2017-01-26,0.8902
2017-01-27,0.8895
2017-01-30,0.8889
2017-01-31,0.8853
2017-02-01,0.8952
2017-02-02,0.8885
2017-02-03,0.8898
2017-02-06,0.8662
2017-02-07,0.8644
2017-02-08,0.8610
2017-02-09,0.8851
2017-02-10,0.8937
2017-02-13,0.8987
2017-02-14,0.9271
2017-02-15,0.9457
2017-02-16,0.9219
2017-02-17,0.9097
2017-02-20,
2017-02-21,0.9191
2017-02-22,0.9153
2017-02-23,0.8992
2017-02-24,0.8719
2017-02-27,0.8999
2017-02-28,0.9223
2017-03-01,0.9910
2017-03-02,1.0372
2017-03-03,1.0481
2017-03-06,1.0566
2017-03-07,1.0709
2017-03-08,1.0959
2017-03-09,1.1144
2017-03-10,1.1120
2017-03-13,1.1374
2017-03-14,1.1391
2017-03-15,1.0950
2017-03-16,1.0940
2017-03-17,1.0837
2017-03-20,1.0772
2017-03-21,1.0677
2017-03-22,1.0596
2017-03-23,1.0576
2017-03-24,1.0583
2017-03-27,1.0615
2017-03-28,1.0850
2017-03-29,1.0757
2017-03-30,1.0804
2017-03-31,1.0696
2017-04-03,1.0586
2017-04-04,1.0636
2017-04-05,1.0620
2017-04-06,1.0682
2017-04-07,1.0976
2017-04-10,1.1032
2017-04-11,1.0790
2017-04-12,1.0720
2017-04-13,1.0578
2017-04-14,
2017-04-17,1.0632
2017-04-18,1.0399
2017-04-19,1.0476
2017-04-20,1.0523
2017-04-21,1.0453
2017-04-24,1.0698
2017-04-25,1.1026
2017-04-26,1.1026
2017-04-27,1.0902
2017-04-28,1.0958
2017-05-01,1.1059
2017-05-02,1.0979
2017-05-03,1.1220
2017-05-04,1.1359
2017-05-05,1.1445
2017-05-08,1.1592
2017-05-09,1.1772
2017-05-10,1.1794
2017-05-11,1.1724
2017-05-12,1.1428
2017-05-15,1.1425
2017-05-16,1.1427
2017-05-17,1.1093
2017-05-18,1.1188
2017-05-19,1.1270
2017-05-22,1.1427
2017-05-23,1.1633
2017-05-24,1.1586
2017-05-25,1.1588
2017-05-26,1.1586
2017-05-29,
2017-05-30,1.1513
2017-05-31,1.1625
2017-06-01,1.1689
2017-06-02,1.1592
2017-06-05,1.1675
2017-06-06,1.1648
2017-06-07,1.1853
2017-06-08,1.2001
2017-06-09,1.2161
2017-06-12,1.2151
2017-06-13,1.2273
2017-06-14,1.2204
2017-06-15,1.2306
2017-06-16,1.2261
2017-06-19,1.2455
2017-06-20,1.2409
2017-06-21,1.2370
2017-06-22,1.2221
2017-06-23,1.2178
2017-06-26,1.2198
2017-06-27,1.2430
2017-06-28,1.2393
2017-06-29,1.2561
2017-06-30,1.2645
2017-07-03,1.2795
2017-07-04,
2017-07-05,1.2779
2017-07-06,1.2762
2017-07-07,1.2772
2017-07-10,1.2647
2017-07-11,1.2571
2017-07-12,1.2376
2017-07-13,1.2454
2017-07-14,1.2339
2017-07-17,1.2302
2017-07-18,1.2254
2017-07-19,1.2342
2017-07-20,1.2413
2017-07-21,1.2366
2017-07-24,1.2497
2017-07-25,1.2780
2017-07-26,1.2558
2017-07-27,1.2469
2017-07-28,1.2341
2017-07-31,1.2329
2017-08-01,1.2299
2017-08-02,1.2366
2017-08-03,1.2261
2017-08-04,1.2370
2017-08-07,1.2342
2017-08-08,1.2443
2017-08-09,1.2310
2017-08-10,1.2214
2017-08-11,1.2056
2017-08-14,1.2152
2017-08-15,1.2353
2017-08-16,1.2203
2017-08-17,1.2029
2017-08-18,1.2053
2017-08-21,1.2030
2017-08-22,1.2143
2017-08-23,1.2077
2017-08-24,1.2142
2017-08-25,1.2165
2017-08-28,1.2107
2017-08-29,1.2080
2017-08-30,1.2115
2017-08-31,1.2030
2017-09-01,1.2167
2017-09-04,
2017-09-05,1.1988
2017-09-06,1.2161
2017-09-07,1.2009
2017-09-08,1.1974
2017-09-11,1.2285
2017-09-12,1.2391
2017-09-13,1.2464
2017-09-14,1.2547
2017-09-15,1.2663
2017-09-18,1.2800
2017-09-19,1.2847
2017-09-20,1.3084
2017-09-21,1.3071
2017-09-22,1.3032
2017-09-25,1.2944
2017-09-26,1.3030
2017-09-27,1.3231
2017-09-28,1.3153
2017-09-29,1.3265
2017-10-02,1.3312
2017-10-03,1.3320
2017-10-04,1.3352
2017-10-05,1.3421
2017-10-06,1.3571
2017-10-09,
2017-10-10,1.3620
2017-10-11,1.3680
2017-10-12,1.3716
2017-10-13,1.3631
2017-10-16,1.3810
2017-10-17,1.3870
2017-10-18,1.3980
2017-10-19,1.3977
2017-10-20,1.4143
2017-10-23,1.4053
2017-10-24,1.4215
2017-10-25,1.4275
2017-10-26,1.4355
2017-10-27,1.4232
2017-10-30,1.4068
2017-10-31,1.4245
2017-11-01,1.4434
2017-11-02,1.4451
2017-11-03,1.4526
2017-11-06,1.4574
2017-11-07,1.4739
2017-11-08,1.4904
2017-11-09,1.4946
2017-11-10,1.5134
2017-11-13,1.5274
2017-11-14,1.5338
2017-11-15,1.5289
2017-11-16,1.5522
2017-11-17,1.5618
2017-11-20,1.5876
2017-11-21,1.6005
2017-11-22,1.5868
2017-11-23,
2017-11-24,1.5923
2017-11-27,1.5850
2017-11-28,1.5981
2017-11-29,1.6080
2017-11-30,1.6193
2017-12-01,1.6161
2017-12-04,1.6322
2017-12-05,1.6487
2017-12-06,1.6426
2017-12-07,1.6467
2017-12-08,1.6440
2017-12-11,1.6594
2017-12-12,1.6733
2017-12-13,1.6484
2017-12-14,1.6573
2017-12-15,1.6700
2017-12-18,1.6881
2017-12-19,1.7064
2017-12-20,1.7135
2017-12-21,1.7169
2017-12-22,1.7214
2017-12-25,
2017-12-26,1.7393
2017-12-27,1.7301
2017-12-28,1.7338
2017-12-29,1.7268
2018-01-01,
2018-01-02,1.7592
2018-01-03,1.7614
2018-01-04,1.7744
2018-01-05,1.7776
2018-01-08,1.7910
2018-01-09,1.8005
2018-01-10,1.7936
